split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,0,1,33,64.76246547698975,1.962498953848174
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,1,2,33,64.76246547698975,1.962498953848174
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,2,3,33,64.76246547698975,1.962498953848174
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,3,4,33,66.43627389272055,2.013220420991532
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,4,5,33,66.43627389272054,2.0132204209915314
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,5,6,33,66.43627389272054,2.0132204209915314
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,6,7,33,65.45918321609497,1.9836116126089385
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,7,8,33,65.45918321609497,1.9836116126089385
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,8,9,33,65.45918321609497,1.9836116126089385
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,9,10,33,66.60844469070435,2.018437717900132
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,10,11,33,66.60844469070436,2.0184377179001323
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,11,12,33,66.60844469070435,2.018437717900132
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,12,13,33,68.20814673105875,2.0669135373048104
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,13,14,33,68.20814673105876,2.066913537304811
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,14,15,33,68.20814673105875,2.0669135373048104
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,15,16,33,62.51477376619975,1.894387083824235
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,16,17,33,62.51477376619975,1.894387083824235
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,17,18,33,62.514773766199745,1.8943870838242347
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,18,19,33,62.281954765319824,1.8873319625854492
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,19,20,33,62.28195476531982,1.887331962585449
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,20,21,33,62.281954765319824,1.8873319625854492
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,21,22,33,64.35750166575114,1.9502273232045801
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,22,23,33,64.35750166575114,1.9502273232045801
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,23,24,33,64.35750166575114,1.9502273232045801
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,24,25,33,65.86322704950967,1.9958553651366568
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,25,26,33,65.86322704950969,1.9958553651366573
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,26,27,33,65.86322704950969,1.9958553651366573
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,27,28,33,60.74322867393494,1.8407038992101497
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XI,28,29,33,60.74322867393494,1.8407038992101497
