metric,value
best_val_bits_per_base,1.9665716229923662
compression.aggregate.source_count,9
compression.aggregate.total_arithmetic_bits_per_base,1.96875
compression.aggregate.total_arithmetic_coded_bytes,4536
compression.aggregate.total_sample_bases,18432
compression.aggregate.total_sample_bytes,18432
compression.aggregate.total_theoretical_bits,36313.18260054797
compression.aggregate.total_theoretical_bits_per_base,1.9701162435193125
config.data.compression_sample_bytes,100000
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,2048
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,2048
config.data.test_ratio,0.2
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,4
config.data.train_ratio,0.6
config.data.train_samples_per_epoch,1000000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.2
config.model.eos_id,626
config.model.global_dim,128
config.model.global_heads,8
config.model.global_layers,4
config.model.implementation,megabyte_in_action
config.model.initializer_range,0.02
config.model.local_dim,128
config.model.local_heads,2
config.model.local_layers,2
config.model.pad_id,625
config.model.patch_size,4
config.model.seq_length,8
config.model.vocab_size,627
config.output.output_dir,outputs/dna_megabyte_quick_20260322_144746
config.output.run_name,dna_megabyte_quick
config.train.batch_size,16
config.train.device,auto
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,500
config.train.grad_clip_norm,1.0
config.train.learning_rate,0.0003
config.train.log_interval,25
config.train.lr_min_ratio,0.2
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,0
config.train.num_workers,0
config.train.seed,42
config.train.weight_decay,0.01
dataset.alphabet_size,4
dataset.species_count,9
dataset.total_size_bytes,374586508
dataset.total_test_bytes,18432
dataset.total_train_bytes,224751903
dataset.total_val_bytes,18432
device,cuda
model_parameters,11323251
test.bases,18432
test.bits_per_base,1.9721521160475626
test.bits_per_token,7.88860846419025
test.elapsed_seconds,0.10821366310119629
test.loss_nats_per_base,1.366991678873698
test.loss_nats_per_token,5.467966715494792
test.tokens,4608
validation.bases,18432
validation.bits_per_base,1.9665716229923662
validation.bits_per_token,7.866286491969465
validation.elapsed_seconds,0.11625480651855469
validation.loss_nats_per_base,1.3631235758463542
validation.loss_nats_per_token,5.452494303385417
validation.tokens,4608
