metric,value
compression_compare.best_val_bpb,1.8005927409368734
compression_compare.checkpoint_step,31000
compression_compare.overlap_stride_patches,1
compression_compare.overlap_stride_tokens,4
config.data.compression_sample_bytes,100000
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.test_ratio,0.2
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,4
config.data.train_ratio,0.6
config.data.train_samples_per_epoch,1000000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.2
config.model.attn_dropout,0.1
config.model.eos_id,626
config.model.ff_dropout,0.1
config.model.global_dim,128
config.model.global_heads,8
config.model.global_layers,4
config.model.implementation,megabyte_in_action
config.model.initializer_range,0.02
config.model.local_dim,128
config.model.local_heads,2
config.model.local_layers,2
config.model.pad_id,625
config.model.patch_size,4
config.model.seq_length,1024
config.model.vocab_size,627
config.output.output_dir,outputs/dna_megabyte_quick_20260322_213227
config.output.run_name,dna_megabyte_quick
config.train.allow_tf32,True
config.train.batch_size,16
config.train.cudnn_benchmark,True
config.train.device,auto
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,500
config.train.fused_adamw,True
config.train.grad_clip_norm,1.0
config.train.learning_rate,0.0003
config.train.log_interval,25
config.train.lr_min_ratio,0.2
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,0
config.train.num_workers,8
config.train.persistent_workers,True
config.train.pin_memory,True
config.train.prefetch_factor,4
config.train.seed,42
config.train.weight_decay,0.01
